essay_id,split
5.40889E+12,validation
5.15292E+12,train
4.84513E+12,train
5.14559E+12,validation
5.39515E+12,train
5.67172E+12,train
5.76161E+12,train
5.32398E+12,train
5.32799E+12,validation
5.26244E+12,train
5.87431E+12,train
5.47949E+12,train
4.28022E+12,train
5.84237E+12,train
5.6727E+12,validation
5.4162E+12,validation
5.34676E+12,train
4.92656E+12,train
5.38448E+12,train
5.11945E+12,validation
5.74229E+12,train
5.69482E+12,train
4.86022E+12,train
4.84092E+12,train
5.30939E+12,train
5.49822E+12,train
5.34623E+12,train
5.56095E+12,validation
5.66689E+12,train
5.65992E+12,train
5.94683E+12,train
5.86399E+12,validation
5.34956E+12,train
4.91241E+12,validation
4.64072E+12,train
4.85864E+12,validation
4.93323E+12,train
5.41867E+12,train
5.41842E+12,train
5.39914E+12,train
5.00435E+12,train
5.02914E+12,validation
4.66253E+12,train
5.33934E+12,train
5.11379E+12,train
5.6742E+12,train
5.07456E+12,validation
5.34515E+12,validation
575761115212010thLitAB,train
5.34894E+12,train
4.2349E+12,validation
5.83124E+12,train
5.52597E+12,train
5.76191E+12,train
5.75498E+12,train
5.22543E+12,train
4.99102E+11,train
565918115212010thLitAB,train
5.93645E+12,train
5.78838E+12,train
5.32034E+12,train
5.61333E+12,validation
5.77448E+12,train
5.60315E+12,validation
5.27972E+12,train
5.91397E+12,train
4.85554E+12,train
5.60751E+12,train
535314115212010thLitAB,train
5.68672E+12,train
5.26252E+12,validation
4.90845E+12,train
5.67226E+12,train
5.73588E+12,train
5.09745E+12,train
5.27158E+12,train
5.46867E+12,train
5.33735E+12,train
5.34402E+12,train
4.82347E+12,validation
5.59321E+12,train
5.12319E+12,train
5.56649E+12,train
5.44841E+12,validation
5.55573E+12,train
5.76295E+12,train
4.65822E+12,train
4.98934E+12,train
4.68504E+12,validation
5.75372E+12,train
5.56241E+12,train
5.63465E+12,train
4.99605E+12,train
5.83138E+12,train
5.47218E+12,train
5.63463E+12,validation
5.92842E+12,train
5.08342E+12,train
5.78256E+12,train
5.83534E+12,validation
5.41693E+12,train
5.25405E+12,validation
4.52938E+12,validation
5.56757E+12,validation
5.5415E+12,train
5.88558E+12,train
5.16006E+12,train
5.45113E+12,train
5.49057E+12,train
5.65724E+12,train
5.32046E+12,validation
5.39967E+12,validation
5.66666E+12,train
5.07804E+12,validation
527182115212010thLitAB,train
4.41026E+12,train
5.86611E+12,train
6.00191E+12,train
5.64413E+12,train
5.23358E+12,validation
4.64123E+12,train
5.78893E+12,validation
520804115212010thLitAB,train
5.42923E+12,validation
4.94155E+12,train
5.02255E+12,train
5.1925E+12,train
5.41386E+12,validation
5.75885E+12,train
537781115212010thLitAB,train
5.67832E+12,train
4.80247E+12,validation
4.83537E+12,train
4.98698E+12,train
5.12519E+12,train
5.39386E+12,validation
5.42858E+12,train
5.07817E+12,train
4.9703E+12,train
5761731152126_cleaned,train
4.99102E+12,train
5.4033E+12,train
4.98073E+12,train
5.39266E+12,train
5.28961E+12,train
5.37697E+12,train
4.72492E+12,train
547188115212010thLitAB,train
5.78717E+12,train
4.27326E+12,validation
5.77698E+12,validation
5.95832E+12,train
5.38186E+12,train
5.58506E+12,train
5.12917E+12,train
4.81214E+12,train
5.35378E+12,train
5.76469E+12,train
5.24813E+12,train
5.82159E+12,train
5.66386E+12,train
5.57777E+12,train
5.78372E+12,train
5.25902E+12,train
