condition,true_score,predicted_score,count,row_total
T0,1,1,17,418
T0,1,2,308,418
T0,1,3,91,418
T0,1,4,2,418
T0,1,5,0,418
T0,1,6,0,418
T0,2,1,4,2481
T0,2,2,1094,2481
T0,2,3,1345,2481
T0,2,4,38,2481
T0,2,5,0,2481
T0,2,6,0,2481
T0,3,1,1,3425
T0,3,2,301,3425
T0,3,3,2608,3425
T0,3,4,502,3425
T0,3,5,13,3425
T0,3,6,0,3425
T0,4,1,0,2536
T0,4,2,11,2536
T0,4,3,1002,2536
T0,4,4,1387,2536
T0,4,5,136,2536
T0,4,6,0,2536
T0,5,1,0,1215
T0,5,2,0,1215
T0,5,3,66,1215
T0,5,4,658,1215
T0,5,5,485,1215
T0,5,6,6,1215
T0,6,1,0,326
T0,6,2,0,326
T0,6,3,1,326
T0,6,4,66,326
T0,6,5,212,326
T0,6,6,47,326
T1,1,1,23,418
T1,1,2,321,418
T1,1,3,68,418
T1,1,4,6,418
T1,1,5,0,418
T1,1,6,0,418
T1,2,1,10,2481
T1,2,2,1535,2481
T1,2,3,904,2481
T1,2,4,26,2481
T1,2,5,5,2481
T1,2,6,1,2481
T1,3,1,0,3425
T1,3,2,384,3425
T1,3,3,2655,3425
T1,3,4,360,3425
T1,3,5,20,3425
T1,3,6,6,3425
T1,4,1,0,2536
T1,4,2,3,2536
T1,4,3,905,2536
T1,4,4,1478,2536
T1,4,5,145,2536
T1,4,6,5,2536
T1,5,1,0,1215
T1,5,2,0,1215
T1,5,3,16,1215
T1,5,4,571,1215
T1,5,5,535,1215
T1,5,6,93,1215
T1,6,1,0,326
T1,6,2,0,326
T1,6,3,0,326
T1,6,4,22,326
T1,6,5,152,326
T1,6,6,152,326
T2,1,1,204,418
T2,1,2,191,418
T2,1,3,22,418
T2,1,4,1,418
T2,1,5,0,418
T2,1,6,0,418
T2,2,1,76,2481
T2,2,2,1528,2481
T2,2,3,841,2481
T2,2,4,30,2481
T2,2,5,6,2481
T2,2,6,0,2481
T2,3,1,0,3425
T2,3,2,304,3425
T2,3,3,2626,3425
T2,3,4,473,3425
T2,3,5,19,3425
T2,3,6,3,3425
T2,4,1,0,2536
T2,4,2,1,2536
T2,4,3,765,2536
T2,4,4,1615,2536
T2,4,5,151,2536
T2,4,6,4,2536
T2,5,1,0,1215
T2,5,2,0,1215
T2,5,3,6,1215
T2,5,4,554,1215
T2,5,5,590,1215
T2,5,6,65,1215
T2,6,1,0,326
T2,6,2,0,326
T2,6,3,0,326
T2,6,4,14,326
T2,6,5,158,326
T2,6,6,154,326
T3,1,1,206,418
T3,1,2,189,418
T3,1,3,23,418
T3,1,4,0,418
T3,1,5,0,418
T3,1,6,0,418
T3,2,1,88,2481
T3,2,2,1538,2481
T3,2,3,819,2481
T3,2,4,32,2481
T3,2,5,4,2481
T3,2,6,0,2481
