condition,split,n_train,n_test,ridge_alpha,qwk,rmse,mae,exact_accuracy,adjacent_accuracy
T0,official_test,15591,10401,10.0,0.7363612518385596,0.6815050748817365,0.5409865475160448,0.5420632631477742,0.9722142101720989
T1,official_test,15591,10401,10.0,0.8038680695991689,0.6015445753740415,0.46766333983049346,0.6132102682434382,0.9828862609364484
T2,official_test,15591,10401,10.0,0.8360574627204564,0.5542060057662849,0.43166161193710023,0.6458032881453707,0.9898086722430536
T3,official_test,15591,10401,10.0,0.843853600877405,0.5439975475379281,0.42323778485383357,0.6595519661571003,0.9900009614460148
POS,official_test,15591,10401,10.0,0.8437348982459768,0.543166539933138,0.4225781504589241,0.656283049706759,0.9904816844534179
POS_TRANS,official_test,15591,10401,10.0,0.8448311398724061,0.5415707414490085,0.4207296608726548,0.6599365445630228,0.9900971060474955
T3_PLUS_POS,official_test,15591,10401,10.0,0.8488281675811199,0.536639567549624,0.41666764363198017,0.6680126910873955,0.9904816844534179
TS_s13,official_test,15591,10401,10.0,0.8390995921234399,0.5509068974180923,0.4290865058507291,0.6488799153927507,0.9905778290548986
TS_s21,official_test,15591,10401,10.0,0.8396240736216305,0.5485166048746832,0.42733109088109533,0.649841361407557,0.9905778290548986
TS_s42,official_test,15591,10401,10.0,0.838148271468703,0.5492713859388181,0.4280725212398057,0.6486876261897895,0.9900971060474955
TS_s87,official_test,15591,10401,10.0,0.8408607786863355,0.5492663090243639,0.4280426101676293,0.6524372656475339,0.9906739736563792
TS_s101,official_test,15591,10401,10.0,0.8387857250553141,0.5496909195797598,0.42781417394636223,0.6469570233631382,0.9906739736563792
RB_s13,official_test,15591,10401,10.0,0.8376927937530328,0.5529654511795874,0.43036080120460196,0.6463801557542544,0.990193250648976
RB_s21,official_test,15591,10401,10.0,0.8384635571083788,0.5507237051209365,0.4286340689502725,0.6490722045957119,0.9902893952504567
RB_s42,official_test,15591,10401,10.0,0.8379497552131059,0.551631322390244,0.42971969202387733,0.6488799153927507,0.990193250648976
RB_s87,official_test,15591,10401,10.0,0.8396372765760292,0.5514604706223827,0.4290582060446226,0.6520526872416114,0.9900009614460148
RB_s101,official_test,15591,10401,10.0,0.8385352525881318,0.5509313265876197,0.4285472991444758,0.6493606384001538,0.990193250648976
RND_s13,official_test,15591,10401,10.0,0.8360760162805733,0.555451511989364,0.43268166154269366,0.6458994327468512,0.9896163830400923
RND_s21,official_test,15591,10401,10.0,0.8361959085807888,0.5555425050365674,0.43286361320641237,0.6469570233631382,0.9893279492356504
RND_s42,official_test,15591,10401,10.0,0.8367980049730768,0.554863473911079,0.4321637228706885,0.6470531679646188,0.9898086722430536
RND_s87,official_test,15591,10401,10.0,0.8356185410359079,0.5557855043383607,0.4329372374047987,0.6444572637246418,0.9897125276415729
RND_s101,official_test,15591,10401,10.0,0.8362072250625013,0.5562479121655487,0.4327644242594646,0.6460917219498126,0.989424093837131
