comparison,condition_a,condition_b,qwk_a,qwk_b,qwk_diff,prompts_positive,prompts_total,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_p_positive,qwk_b_ensemble,qwk_diff_ensemble
T3_PLUS_POS_vs_T2,T3_PLUS_POS,T2,0.8488281675811199,0.8360574627204564,0.012770704860663451,15,15,0.009175479058316102,0.016245358133907976,1.0,,
T3_PLUS_POS_vs_T3,T3_PLUS_POS,T3,0.8488281675811199,0.843853600877405,0.004974566703714878,14,15,0.0022970013270168536,0.00766071551148725,1.0,,
T3_PLUS_POS_vs_POS,T3_PLUS_POS,POS,0.8488281675811199,0.8437348982459768,0.005093269335143091,11,15,0.0023503758929256102,0.007863026134781544,0.9998,,
T3_PLUS_POS_vs_POS_TRANS,T3_PLUS_POS,POS_TRANS,0.8488281675811199,0.8448311398724061,0.003997027708713796,10,15,0.0015076624084840728,0.006531164557800525,0.9994,,
T3_PLUS_POS_vs_mean_TS,T3_PLUS_POS,mean_TS,0.8488281675811199,0.8393036881910845,0.009524479390035423,15,15,0.006531948702204365,0.012495917172163919,1.0,0.8397158012908841,0.009112366290235818
T3_PLUS_POS_vs_mean_RB,T3_PLUS_POS,mean_RB,0.8488281675811199,0.8384557270477357,0.010372440533384153,14,15,0.007184413795456104,0.01346977068854305,1.0,0.8390175141496405,0.009810653431479355
T3_PLUS_POS_vs_mean_RND,T3_PLUS_POS,mean_RND,0.8488281675811199,0.8361791391865696,0.012649028394550288,15,15,0.009260850025162758,0.01597202457787227,1.0,0.8362320411815264,0.01259612639959351
T3_vs_T2,T3,T2,0.843853600877405,0.8360574627204564,0.007796138156948573,12,15,0.004568621124550048,0.011019130463237355,1.0,,
POS_vs_T2,POS,T2,0.8437348982459768,0.8360574627204564,0.00767743552552036,15,15,0.0046235308747913425,0.010663696656438734,1.0,,
POS_TRANS_vs_T2,POS_TRANS,T2,0.8448311398724061,0.8360574627204564,0.008773677151949655,15,15,0.005467031322677116,0.011992938237896012,1.0,,
