condition,prompt_name,n_essays,qwk
T0,"""A Cowboy Who Rode the Waves""",684,0.5367469556354273
T0,Car-free cities,976,0.5822403904574632
T0,Cell phones at school,827,0.5897349569117747
T0,Community service,774,0.5167277541132715
T0,Distance learning,659,0.7348526759733589
T0,Does the electoral college work?,228,0.6398937668504285
T0,Driverless cars,500,0.5192954148178028
T0,Exploring Venus,934,0.5912146149347057
T0,Facial action coding system,1064,0.6972570843357198
T0,Grades for extracurricular activities,811,0.5445556469243267
T0,Mandatory extracurricular activities,831,0.7038603262942933
T0,Phones and driving,466,0.5584465740383148
T0,Seeking multiple opinions,8,0.4285714285714286
T0,Summer projects,875,0.6354749855420458
T0,The Face on Mars,764,0.5459572313003214
T1,"""A Cowboy Who Rode the Waves""",684,0.6000352103820327
T1,Car-free cities,976,0.6661262111117663
T1,Cell phones at school,827,0.6945490361037868
T1,Community service,774,0.6345547258843327
T1,Distance learning,659,0.8015614261318789
T1,Does the electoral college work?,228,0.7337788316447511
T1,Driverless cars,500,0.6695468070496682
T1,Exploring Venus,934,0.7315139470508908
T1,Facial action coding system,1064,0.7834909499734892
T1,Grades for extracurricular activities,811,0.6630944954890678
T1,Mandatory extracurricular activities,831,0.7875492902283434
T1,Phones and driving,466,0.6959737591464514
T1,Seeking multiple opinions,8,0.6
T1,Summer projects,875,0.74669823155159
T1,The Face on Mars,764,0.7044237713228624
T2,"""A Cowboy Who Rode the Waves""",684,0.7361111111111112
T2,Car-free cities,976,0.753732490547625
T2,Cell phones at school,827,0.7348733178423649
T2,Community service,774,0.6698490889981787
T2,Distance learning,659,0.8288670378469538
T2,Does the electoral college work?,228,0.7812593853238562
T2,Driverless cars,500,0.7323224676083147
T2,Exploring Venus,934,0.8087965752204129
T2,Facial action coding system,1064,0.8298540950481539
T2,Grades for extracurricular activities,811,0.6971969689376247
T2,Mandatory extracurricular activities,831,0.778795650056809
T2,Phones and driving,466,0.7114467980934003
T2,Seeking multiple opinions,8,0.6
T2,Summer projects,875,0.7595892730490789
T2,The Face on Mars,764,0.7948685550931447
T3,"""A Cowboy Who Rode the Waves""",684,0.7548516949152542
T3,Car-free cities,976,0.7659319806682132
T3,Cell phones at school,827,0.7357635166559546
T3,Community service,774,0.6864941459591681
T3,Distance learning,659,0.8547423353939089
T3,Does the electoral college work?,228,0.7756283013154796
T3,Driverless cars,500,0.7402900271370421
T3,Exploring Venus,934,0.8192748965501415
T3,Facial action coding system,1064,0.838348558122873
T3,Grades for extracurricular activities,811,0.7172583373268075
T3,Mandatory extracurricular activities,831,0.8044315060543927
T3,Phones and driving,466,0.7246908187306202
T3,Seeking multiple opinions,8,0.6
T3,Summer projects,875,0.7764281877076025
T3,The Face on Mars,764,0.7771436735536206
POS,"""A Cowboy Who Rode the Waves""",684,0.7435080153745196
POS,Car-free cities,976,0.7576598420133498
POS,Cell phones at school,827,0.7600475652535823
POS,Community service,774,0.6834343418504552
POS,Distance learning,659,0.8369776677413543
POS,Does the electoral college work?,228,0.7869727709556861
POS,Driverless cars,500,0.755889970341284
POS,Exploring Venus,934,0.8206276587704613
POS,Facial action coding system,1064,0.8326516405564444
POS,Grades for extracurricular activities,811,0.7157697553922747
POS,Mandatory extracurricular activities,831,0.790050142659281
POS,Phones and driving,466,0.7274972577563725
POS,Seeking multiple opinions,8,0.6296296296296297
POS,Summer projects,875,0.771513559463951
POS,The Face on Mars,764,0.814709498018546
POS_TRANS,"""A Cowboy Who Rode the Waves""",684,0.746690340466623
POS_TRANS,Car-free cities,976,0.7622608212051611
POS_TRANS,Cell phones at school,827,0.7650528919266699
