control,condition,seed,aggregation,qwk,qwk_diff_vs_T3_PLUS_POS
TS,TS_s13,13,seed_level,0.8390995921234399,0.009728575457680022
TS,TS_s21,21,seed_level,0.8396240736216305,0.009204093959489401
TS,TS_s42,42,seed_level,0.838148271468703,0.010679896112416931
TS,TS_s87,87,seed_level,0.8408607786863355,0.007967388894784433
TS,TS_s101,101,seed_level,0.8387857250553141,0.010042442525805773
TS,mean_TS,,mean_seed_qwk,0.8393036881910845,0.009524479390035423
TS,ensemble_TS,,ensemble_prediction_qwk,0.8397158012908841,0.009112366290235818
RB,RB_s13,13,seed_level,0.8376927937530328,0.011135373828087047
RB,RB_s21,21,seed_level,0.8384635571083788,0.010364610472741065
RB,RB_s42,42,seed_level,0.8379497552131059,0.010878412368014012
RB,RB_s87,87,seed_level,0.8396372765760292,0.00919089100509074
RB,RB_s101,101,seed_level,0.8385352525881318,0.010292914992988123
RB,mean_RB,,mean_seed_qwk,0.8384557270477357,0.010372440533384153
RB,ensemble_RB,,ensemble_prediction_qwk,0.8390175141496405,0.009810653431479355
RND,RND_s13,13,seed_level,0.8360760162805733,0.012752151300546632
RND,RND_s21,21,seed_level,0.8361959085807888,0.012632259000331048
RND,RND_s42,42,seed_level,0.8367980049730768,0.012030162608043127
RND,RND_s87,87,seed_level,0.8356185410359079,0.013209626545211961
RND,RND_s101,101,seed_level,0.8362072250625013,0.012620942518618561
RND,mean_RND,,mean_seed_qwk,0.8361791391865696,0.012649028394550288
RND,ensemble_RND,,ensemble_prediction_qwk,0.8362320411815264,0.01259612639959351
