condition,task_type,n_essays,qwk,rmse,mae,exact_accuracy,adjacent_accuracy
T0,Independent,5251,0.7621591284246457,0.6476730227151578,0.5159127713826444,0.562369072557608,0.9817177680441821
T0,Text dependent,5150,0.6246088347729919,0.7143527858561095,0.5665520617833234,0.5213592233009708,0.9625242718446602
T0,ALL,10401,0.7363612518385596,0.6815050748817365,0.5409865475160448,0.5420632631477742,0.9722142101720989
T1,Independent,5251,0.8223268797992003,0.5703950366520036,0.44542498314933515,0.6305465625595125,0.9887640449438202
T1,Text dependent,5150,0.7268979077996602,0.6317255616224293,0.490337827390253,0.5955339805825243,0.9768932038834951
T1,ALL,10401,0.8038680695991689,0.6015445753740415,0.46766333983049346,0.6132102682434382,0.9828862609364484
T2,Independent,5251,0.8346481392363193,0.5466536097060837,0.4262249163266796,0.6434964768615502,0.9921919634355361
T2,Text dependent,5150,0.796919067490441,0.5618019921814965,0.43720493012162825,0.6481553398058253,0.987378640776699
T2,ALL,10401,0.8360574627204564,0.5542060057662849,0.43166161193710023,0.6458032881453707,0.9898086722430536
T3,Independent,5251,0.8465392465676348,0.5323538272355447,0.41524526968466147,0.665206627309084,0.9923824033517425
T3,Text dependent,5150,0.8025666252247301,0.5556184425377046,0.4313870464370031,0.6537864077669903,0.9875728155339806
T3,ALL,10401,0.843853600877405,0.5439975475379281,0.42323778485383357,0.6595519661571003,0.9900009614460148
POS,Independent,5251,0.8431751878208897,0.5345641924763588,0.4175890258578903,0.65739859074462,0.9927632831841554
POS,Text dependent,5150,0.8057421407496355,0.5517995326371706,0.4276651200278615,0.6551456310679612,0.9881553398058253
POS,ALL,10401,0.8437348982459768,0.543166539933138,0.4225781504589241,0.656283049706759,0.9904816844534179
POS_TRANS,Independent,5251,0.8452069463361965,0.5328639023320932,0.41543168012913634,0.6627309083984003,0.9921919634355361
POS_TRANS,Text dependent,5150,0.8062641327337348,0.5503065174863994,0.4261315437627937,0.6570873786407767,0.9879611650485437
POS_TRANS,ALL,10401,0.8448311398724061,0.5415707414490085,0.4207296608726548,0.6599365445630228,0.9900971060474955
T3_PLUS_POS,Independent,5251,0.8502457136653833,0.5259512877237805,0.41077589547126586,0.6722529042087222,0.9927632831841554
T3_PLUS_POS,Text dependent,5150,0.8102602810121692,0.547322600154381,0.42267493869837064,0.6636893203883495,0.9881553398058253
T3_PLUS_POS,ALL,10401,0.8488281675811199,0.536639567549624,0.41666764363198017,0.6680126910873955,0.9904816844534179
TS_s13,Independent,5251,0.8406226849185897,0.5414539721786485,0.42301738317569537,0.6533993525042849,0.9929537231003618
TS_s13,Text dependent,5150,0.7974278590742326,0.5603810536331867,0.4352746540384188,0.6442718446601942,0.9881553398058253
TS_s13,ALL,10401,0.8390995921234399,0.5509068974180923,0.4290865058507291,0.6488799153927507,0.9905778290548986
TS_s21,Independent,5251,0.840854408904252,0.539889969901034,0.4219522169088379,0.6514949533422205,0.9931441630165683
TS_s21,Text dependent,5150,0.798639552262808,0.5571749199726085,0.4328154534497019,0.6481553398058253,0.9879611650485437
TS_s21,ALL,10401,0.8396240736216305,0.5485166048746832,0.42733109088109533,0.649841361407557,0.9905778290548986
TS_s42,Independent,5251,0.839799712436917,0.5411779733568,0.4226189855429783,0.6514949533422205,0.9927632831841554
TS_s42,Text dependent,5150,0.7964040340070031,0.5574025419257125,0.4336330097726294,0.6458252427184467,0.987378640776699
TS_s42,ALL,10401,0.838148271468703,0.5492713859388181,0.4280725212398057,0.6486876261897895,0.9900971060474955
TS_s87,Independent,5251,0.8431460937262298,0.5402330161057484,0.42167944433177923,0.6551133117501429,0.9931441630165683
TS_s87,Text dependent,5150,0.7989573987899182,0.5583263006999539,0.43453056818783287,0.6497087378640777,0.9881553398058253
TS_s87,ALL,10401,0.8408607786863355,0.5492663090243639,0.4280426101676293,0.6524372656475339,0.9906739736563792
TS_s101,Independent,5251,0.8369360309874752,0.5421895075771743,0.42266488513691053,0.6463530756046467,0.9921919634355361
TS_s101,Text dependent,5150,0.8011967646795837,0.5572354835040132,0.4330644488081936,0.6475728155339806,0.989126213592233
TS_s101,ALL,10401,0.8387857250553141,0.5496909195797598,0.42781417394636223,0.6469570233631382,0.9906739736563792
RB_s13,Independent,5251,0.8381849354312444,0.5446106964693422,0.4250377208096386,0.648638354599124,0.9923824033517425
RB_s13,Text dependent,5150,0.7969882454109041,0.5613560439866773,0.4357882759917772,0.6440776699029126,0.9879611650485437
RB_s13,ALL,10401,0.8376927937530328,0.5529654511795874,0.43036080120460196,0.6463801557542544,0.990193250648976
RB_s21,Independent,5251,0.8382428163542435,0.5423165313896764,0.42338302900301733,0.6482574747667111,0.9925728432679489
RB_s21,Text dependent,5150,0.7987492923104407,0.5591656261234853,0.43398809045765824,0.6499029126213592,0.9879611650485437
RB_s21,ALL,10401,0.8384635571083788,0.5507237051209365,0.4286340689502725,0.6490722045957119,0.9902893952504567
RB_s42,Independent,5251,0.8380163910407676,0.5436316773586803,0.4243345251600467,0.6505427537611883,0.9921919634355361
RB_s42,Text dependent,5150,0.797774669935137,0.5596701374494086,0.4352104708980471,0.6471844660194175,0.9881553398058253
RB_s42,ALL,10401,0.8379497552131059,0.551631322390244,0.42971969202387733,0.6488799153927507,0.990193250648976
RB_s87,Independent,5251,0.8404402927459681,0.5424608932444223,0.4233650287621516,0.6526375928394591,0.9923824033517425
RB_s87,Text dependent,5150,0.7990631754684385,0.560487782188727,0.43486303593010917,0.6514563106796116,0.9875728155339806
RB_s87,ALL,10401,0.8396372765760292,0.5514604706223827,0.4290582060446226,0.6520526872416114,0.9900009614460148
RB_s101,Independent,5251,0.8363980508754056,0.5425820270077762,0.4229731848739204,0.6461626356884403,0.9920015235193297
RB_s101,Text dependent,5150,0.8012703826703607,0.5593160581929658,0.4342307309958711,0.652621359223301,0.9883495145631068
RB_s101,ALL,10401,0.8385352525881318,0.5509313265876197,0.4285472991444758,0.6493606384001538,0.990193250648976
RND_s13,Independent,5251,0.8353542230716184,0.5479003004976538,0.42682952073009095,0.6467339554370596,0.9914302037707103
RND_s13,Text dependent,5150,0.7958773193999115,0.5630465543144444,0.43864857249550465,0.6450485436893204,0.9877669902912621
RND_s13,ALL,10401,0.8360760162805733,0.555451511989364,0.43268166154269366,0.6458994327468512,0.9896163830400923
RND_s21,Independent,5251,0.8336312177696272,0.5478044616233579,0.4271449769605801,0.6434964768615502,0.9910493239382975
RND_s21,Text dependent,5150,0.7989234258769161,0.5633228744999725,0.4386944013475512,0.6504854368932039,0.9875728155339806
RND_s21,ALL,10401,0.8361959085807888,0.5555425050365674,0.43286361320641237,0.6469570233631382,0.9893279492356504
RND_s42,Independent,5251,0.8365952215013588,0.5468577376386459,0.4265975428748505,0.6476861550180918,0.9918110836031232
RND_s42,Text dependent,5150,0.7966399669850533,0.5629089985583188,0.4378390648431441,0.6464077669902912,0.9877669902912621
RND_s42,ALL,10401,0.8367980049730768,0.554863473911079,0.4321637228706885,0.6470531679646188,0.9898086722430536
RND_s87,Independent,5251,0.8343195854930257,0.5485200793565416,0.42735172283165124,0.6431155970291373,0.9918110836031232
RND_s87,Text dependent,5150,0.7965082181149954,0.5630969058434719,0.4386322931375362,0.6458252427184467,0.9875728155339806
RND_s87,ALL,10401,0.8356185410359079,0.5557855043383607,0.4329372374047987,0.6444572637246418,0.9897125276415729
RND_s101,Independent,5251,0.8354138466502408,0.5487209030404975,0.42730884046325646,0.645591315939821,0.9916206436869168
RND_s101,Text dependent,5150,0.7967542019597513,0.5638190865914484,0.4383270010582778,0.6466019417475728,0.9871844660194175
RND_s101,ALL,10401,0.8362072250625013,0.5562479121655487,0.4327644242594646,0.6460917219498126,0.989424093837131
