condition,seed,prompt_name,n_essays,qwk
N0,,"""A Cowboy Who Rode the Waves""",127,0.4718883508971803
N0,,Car-free cities,190,0.6386687797147386
N0,,Cell phones at school,152,0.6512791991101223
N0,,Community service,142,0.6300879192445458
N0,,Distance learning,288,0.7997597116539847
N0,,Does the electoral college work?,356,0.6557409198184978
N0,,Driverless cars,295,0.7088782305648529
N0,,Exploring Venus,196,0.7081476766390834
N0,,Facial action coding system,220,0.6776208321322187
N0,,Grades for extracurricular activities,175,0.6699390656736628
N0,,Mandatory extracurricular activities,177,0.7899922620582924
N0,,Phones and driving,138,0.7063829787234043
N0,,Seeking multiple opinions,331,0.7729847339978951
N0,,Summer projects,172,0.713284942606347
N0,,The Face on Mars,160,0.7175677099799769
N1,,"""A Cowboy Who Rode the Waves""",127,0.8070092126507741
N1,,Car-free cities,190,0.804467313764472
N1,,Cell phones at school,152,0.6755005889281507
N1,,Community service,142,0.6637866578051009
N1,,Distance learning,288,0.8358132375577219
N1,,Does the electoral college work?,356,0.7288217601673859
N1,,Driverless cars,295,0.8044198895027623
N1,,Exploring Venus,196,0.7878111040204212
N1,,Facial action coding system,220,0.7910223557479897
N1,,Grades for extracurricular activities,175,0.7188525926098396
N1,,Mandatory extracurricular activities,177,0.8154196935150326
N1,,Phones and driving,138,0.7409261576971213
N1,,Seeking multiple opinions,331,0.7405537040250345
N1,,Summer projects,172,0.7445469054796949
N1,,The Face on Mars,160,0.7710613515413194
N2,,"""A Cowboy Who Rode the Waves""",127,0.8274537362379949
N2,,Car-free cities,190,0.7966328464711785
N2,,Cell phones at school,152,0.7000297885016383
N2,,Community service,142,0.6956887133372552
N2,,Distance learning,288,0.860967970091947
N2,,Does the electoral college work?,356,0.7503810048281957
N2,,Driverless cars,295,0.7805493943013138
N2,,Exploring Venus,196,0.7894063050088014
N2,,Facial action coding system,220,0.8001418062572011
N2,,Grades for extracurricular activities,175,0.7107033923956321
N2,,Mandatory extracurricular activities,177,0.8155021274414314
N2,,Phones and driving,138,0.7366576988049802
N2,,Seeking multiple opinions,331,0.7272508555927799
N2,,Summer projects,172,0.754047870468145
N2,,The Face on Mars,160,0.8229541945445188
T0,,"""A Cowboy Who Rode the Waves""",127,0.44879186370408763
T0,,Car-free cities,190,0.5773887070636459
T0,,Cell phones at school,152,0.5554716981132075
T0,,Community service,142,0.42473347547974416
T0,,Distance learning,288,0.7590241473736619
T0,,Does the electoral college work?,356,0.6201807768796783
T0,,Driverless cars,295,0.4924304320661316
T0,,Exploring Venus,196,0.5376773049645389
T0,,Facial action coding system,220,0.6042698749705119
T0,,Grades for extracurricular activities,175,0.5896023820189191
T0,,Mandatory extracurricular activities,177,0.7132313231323132
T0,,Phones and driving,138,0.48159771754636227
T0,,Seeking multiple opinions,331,0.6078569611512883
T0,,Summer projects,172,0.5936504565725207
T0,,The Face on Mars,160,0.5269382391590014
T1,,"""A Cowboy Who Rode the Waves""",127,0.520448
T1,,Car-free cities,190,0.720006489468134
T1,,Cell phones at school,152,0.6842105263157895
T1,,Community service,142,0.6412494258153423
T1,,Distance learning,288,0.800371210558878
T1,,Does the electoral college work?,356,0.7205630196386248
T1,,Driverless cars,295,0.6573640909824165
T1,,Exploring Venus,196,0.7211684370257967
T1,,Facial action coding system,220,0.7245017584994138
T1,,Grades for extracurricular activities,175,0.6938579884492799
T1,,Mandatory extracurricular activities,177,0.7968363284192403
T1,,Phones and driving,138,0.7861128332300062
T1,,Seeking multiple opinions,331,0.722494396505016
T1,,Summer projects,172,0.6780748663101605
T1,,The Face on Mars,160,0.7275008963786304
T2,,"""A Cowboy Who Rode the Waves""",127,0.7187361582755056
T2,,Car-free cities,190,0.779131181926158
T2,,Cell phones at school,152,0.7234177215189874
T2,,Community service,142,0.6192856493683541
T2,,Distance learning,288,0.8426284398869939
T2,,Does the electoral college work?,356,0.778009254338414
T2,,Driverless cars,295,0.6912658714890343
T2,,Exploring Venus,196,0.8096566149555516
T2,,Facial action coding system,220,0.7622242098986285
T2,,Grades for extracurricular activities,175,0.7622017776391704
T2,,Mandatory extracurricular activities,177,0.797366914710933
T2,,Phones and driving,138,0.7628226730471119
T2,,Seeking multiple opinions,331,0.7552736766710566
T2,,Summer projects,172,0.6707383773928897
T2,,The Face on Mars,160,0.7598515445912017
T3,,"""A Cowboy Who Rode the Waves""",127,0.7635686667621366
T3,,Car-free cities,190,0.8166814777199441
T3,,Cell phones at school,152,0.7313854853911403
T3,,Community service,142,0.6494788809654416
T3,,Distance learning,288,0.8606213266162889
T3,,Does the electoral college work?,356,0.7733500263199078
T3,,Driverless cars,295,0.6941361698859491
T3,,Exploring Venus,196,0.7979728568974402
T3,,Facial action coding system,220,0.7923940737944701
T3,,Grades for extracurricular activities,175,0.7446173188747446
T3,,Mandatory extracurricular activities,177,0.8111479028697571
T3,,Phones and driving,138,0.8006182380216383
T3,,Seeking multiple opinions,331,0.7653238801160167
T3,,Summer projects,172,0.6751214247166757
T3,,The Face on Mars,160,0.7807017543859649
NS_s13,13.0,"""A Cowboy Who Rode the Waves""",127,0.82907133243607
NS_s13,13.0,Car-free cities,190,0.8040922942969091
NS_s13,13.0,Cell phones at school,152,0.6726084373143197
NS_s13,13.0,Community service,142,0.6839674141261443
NS_s13,13.0,Distance learning,288,0.8440319402675516
NS_s13,13.0,Does the electoral college work?,356,0.7334176839305657
NS_s13,13.0,Driverless cars,295,0.7798884211246877
NS_s13,13.0,Exploring Venus,196,0.7913429522752498
NS_s13,13.0,Facial action coding system,220,0.7764425201025007
NS_s13,13.0,Grades for extracurricular activities,175,0.7148334531512102
NS_s13,13.0,Mandatory extracurricular activities,177,0.8097478458529366
NS_s13,13.0,Phones and driving,138,0.7315512048192772
