condition,split,seed,qwk,rmse,mae,exact_accuracy,adjacent_accuracy,ridge_alpha
N0,train,,0.7933597711954239,0.6452470344292984,0.4849795426029635,0.6054361770365619,0.9723380372033354,
N0,validation,,0.7720687192250923,0.6653581533953096,0.4983416657977601,0.5908945174735493,0.9689002885540238,
N1,train,,0.8645532901384826,0.5219172910727756,0.3982411048362005,0.685856318152662,0.9923027581783195,
N1,validation,,0.8266951727081251,0.5829608834563598,0.442900603784259,0.6412311638345624,0.9842898364860532,
N2,train,,0.8796181808429793,0.49001294427173625,0.37391494749176934,0.7144804361770366,0.9943874278383579,
N2,validation,,0.8324401054974595,0.5717195483166462,0.4344345195515773,0.6486053222186599,0.9849310676498878,
T0,train,,0.7547196061194164,0.6554044504280905,0.5233280413096317,0.553880692751764,0.97771007055805,10.0
T0,validation,,0.7192512284019086,0.6874223303755567,0.5475524854332352,0.534786790638025,0.9698621352997756,10.0
T1,train,,0.8349170412139643,0.5699308550858658,0.4424354267425846,0.6460070558050032,0.9880532392559332,10.0
T1,validation,,0.7995602714140302,0.6115775733644687,0.46893986801841525,0.6219942289195255,0.9791599871753768,10.0
T2,train,,0.858396218135048,0.5282884824241493,0.4103935307538846,0.6768762026940346,0.992142398973701,10.0
T2,validation,,0.8284136452216019,0.5722855643602359,0.44382987785617445,0.6447579352356525,0.986213529977557,10.0
T3,train,,0.8636797004624931,0.5162768178089794,0.40040076057200785,0.687700449005773,0.9924631173829378,10.0
T3,validation,,0.8369936656783136,0.5558522697037245,0.4308189467493678,0.6550176338570054,0.9887784546328952,10.0
NS_s13,train,13.0,0.8745813559059323,0.4988213181557837,0.38131290385536093,0.7043778062860808,0.9940667094291212,
NS_s13,validation,13.0,0.8252116541164132,0.5839193683522884,0.44489586393484887,0.6370631612696377,0.9849310676498878,
TS_s13,train,13.0,0.8613386935439442,0.5208685924517039,0.40415062262362716,0.6832103912764592,0.992142398973701,10.0
TS_s13,validation,13.0,0.8307901720431462,0.5651715895701778,0.43791148600713586,0.6460403975633215,0.9865341455594742,10.0
NS_s21,train,21.0,0.8701784480910657,0.5079925083184299,0.3882177684999858,0.6966805644644003,0.993024374599102,
NS_s21,validation,21.0,0.821732036268785,0.5881754951068737,0.4469286061614522,0.6348188521962167,0.9826867585764668,
TS_s21,train,21.0,0.8627470078693491,0.5216116332781787,0.4045045787792226,0.6844130853110969,0.9931045542014112,10.0
TS_s21,validation,21.0,0.8299796984309425,0.5642781823148804,0.4364041891721271,0.6466816287271562,0.9865341455594742,10.0
NS_s42,train,42.0,0.8633154016834983,0.5212485956751831,0.39865083419471975,0.6850545221295702,0.9922225785760103,
NS_s42,validation,42.0,0.8244380710929422,0.5864402321204163,0.4468265798715528,0.6380250080153895,0.9833279897403013,
TS_s42,train,42.0,0.8619318545117244,0.5205765017721166,0.4042628368406975,0.684493264913406,0.9924631173829378,10.0
TS_s42,validation,42.0,0.8278525022462566,0.5683370682674126,0.44090719873918227,0.6402693170888105,0.9871753767233088,10.0
NS_s87,train,87.0,0.868336405848742,0.509989358934609,0.39046577947286665,0.6921905067350866,0.9933450930083387,
NS_s87,validation,87.0,0.8204830917707275,0.5867667933437503,0.44606187035340955,0.6319333119589612,0.9836486053222186,
TS_s87,train,87.0,0.8610929117155293,0.5206242964193294,0.4044922715264772,0.6832103912764592,0.9922225785760103,10.0
TS_s87,validation,87.0,0.8284644371874127,0.5673367690258327,0.44049429488782094,0.6434754729079833,0.986213529977557,10.0
NS_s101,train,101.0,0.8676592246379694,0.511922307735418,0.39103888788129154,0.6908274534958306,0.9931045542014112,
NS_s101,validation,101.0,0.8221513625351349,0.5866786513805754,0.44636457057189677,0.637383776851555,0.9830073741583841,
TS_s101,train,101.0,0.8617140231379552,0.5210018058017756,0.4044061828462735,0.6836914688903143,0.9922225785760103,10.0
TS_s101,validation,101.0,0.8290366355418478,0.5646323870803153,0.4373722653378091,0.6441167040718179,0.9865341455594742,10.0
