comparison,condition_a,condition_b,qwk_a,qwk_b,qwk_diff,rmse_diff,mae_diff,prompts_positive,prompts_total,bootstrap_qwk_diff_mean,bootstrap_ci_lower_mean,bootstrap_ci_upper_mean,bootstrap_p_positive_mean,boot_13_ci_lower,boot_13_ci_upper,boot_13_p_positive,boot_21_ci_lower,boot_21_ci_upper,boot_21_p_positive,boot_42_ci_lower,boot_42_ci_upper,boot_42_p_positive,boot_87_ci_lower,boot_87_ci_upper,boot_87_p_positive,boot_101_ci_lower,boot_101_ci_upper,boot_101_p_positive,boot_combined_ci_lower,boot_combined_ci_upper,boot_combined_p_positive
T3_vs_POS,T3,POS,0.8369936656783136,0.8396248472477236,-0.0026311815694100016,-0.002573214093496201,0.0003585990342239165,3,15,-0.002622021412240168,-0.008421831415213443,0.003150367205197007,0.1850333333333333,-0.008397234555572758,0.003084017100425399,0.18,-0.008393439509864067,0.0031943855020940986,0.186,-0.008486470503993713,0.0031058908876017755,0.185,-0.008477093662040388,0.0031976545598502255,0.1898,-0.008377938989854464,0.0032565768850460236,0.1926,-0.008398811269955264,0.0030636782961645215,0.1768
T3_vs_POS_TRANS,T3,POS_TRANS,0.8369936656783136,0.8403716358102412,-0.0033779701319276434,0.00036436725497446254,0.0038599192586201148,4,15,-0.003370386047381916,-0.009012462182496581,0.0021790455149874963,0.1181,-0.009045677113366074,0.0022351482199743297,0.1128,-0.008887031911239246,0.0021476990355320355,0.1176,-0.009070458559590886,0.0022050945792694452,0.115,-0.009114636566281345,0.0022688619694745268,0.121,-0.008995748172966654,0.00215847284117291,0.1282,-0.008961220771535286,0.00205899644450173,0.114
POS_TRANS_vs_POS,POS_TRANS,POS,0.8403716358102412,0.8396248472477236,0.0007467885625176418,-0.0029375813484706637,-0.0035013202243961983,7,15,0.0007483646351417483,-0.002769090696864304,0.004256636929161048,0.6621,-0.002805272097729658,0.0042896369881622294,0.6642,-0.002724568883294265,0.004274578805095641,0.6654,-0.0028544496506210824,0.004238712656806392,0.6558,-0.002735828167299753,0.004223243156958859,0.6632,-0.0027753058889345176,0.004221923930253517,0.6616,-0.0027191194933065487,0.004291726037689652,0.6624
T3_PLUS_POS_vs_T3,T3_PLUS_POS,T3,0.8409662958726201,0.8369936656783136,0.003972630194306492,-0.006811188142300528,-0.008014407916452082,10,15,0.0039544822256929535,-0.0012648494555332621,0.009190515065185033,0.9335666666666667,-0.0014189338393120505,0.009263805555641746,0.934,-0.0011965691640903635,0.009038569103797576,0.933,-0.0012188957554438936,0.009199555881386129,0.9356,-0.00122588048086322,0.009079815950304247,0.9322,-0.001272684631683893,0.009291697558692321,0.9298,-0.0012561328618061528,0.009269646341288178,0.9368
T3_PLUS_POS_vs_POS,T3_PLUS_POS,POS,0.8409662958726201,0.8396248472477236,0.0013414486248964907,-0.00938440223579673,-0.007655808882228166,8,15,0.0013324608134527855,-0.003231794618190585,0.005887755689115399,0.7174666666666667,-0.003292735998607374,0.005849745015665644,0.717,-0.003083591808587002,0.005766871184815688,0.72,-0.003260378531930383,0.005884520664328907,0.71,-0.0032477023903847574,0.005979713854469617,0.7122,-0.0032846223531127175,0.005946889974425189,0.72,-0.0032217366265212765,0.00589879344098735,0.7256
T3_vs_REAL_BOUNDARY_SHUFFLED_LABEL,T3,REAL_BOUNDARY_SHUFFLED_LABEL,0.8369936656783136,0.8302908289577495,0.006702836720564043,-0.011920383198878559,-0.008078367389226793,11,15,0.006712630350586738,0.0017423451764956273,0.011762372525562781,0.9960999999999999,0.0018355287856534927,0.011946677656749536,0.9964,0.0018000229351836845,0.011695027172204255,0.9966,0.0016124971208719362,0.011643062131268572,0.9952,0.0017596144573095664,0.0118314726479048,0.9966,0.001810465954442772,0.011828434199403116,0.9958,0.0016359418055123117,0.011629561345846407,0.996
T3_vs_RANDOM_BOUNDARY_TRUE_SEQUENCE,T3,RANDOM_BOUNDARY_TRUE_SEQUENCE,0.8369936656783136,0.8318378561028098,0.005155809575503767,-0.006513062316741647,-0.00434006525664693,13,15,0.005161928547065091,0.000939638796710333,0.009499621501791185,0.9919666666666668,0.0009020448906773143,0.009579860660189779,0.9906,0.0010477648676682134,0.009566136080865767,0.992,0.001024722517530849,0.009400697571526935,0.9934,0.000911750963893146,0.009466177511600574,0.9922,0.0009524513899032527,0.009542946933235034,0.9928,0.0007990981505892227,0.009441910253329026,0.9908
POS_vs_BOUNDARY_ONLY,POS,BOUNDARY_ONLY,0.8396248472477236,0.8396248472477236,0.0,9.446031774995589e-06,3.868161172426721e-06,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRANS_vs_COUNTS_TRANS,TRANS,COUNTS_TRANS,0.8307635945763507,0.8307635945763507,0.0,0.0,0.0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T3_vs_NO_TRANS,T3,NO_TRANS,0.8369936656783136,0.8089434413242327,0.028050224354080888,-0.03889945450489596,-0.030033158970836304,15,15,0.028031364447846294,0.021453393965464376,0.034780608186372824,1.0,0.021297840383775045,0.034723064811522555,1.0,0.021657903727007925,0.03494789085128588,1.0,0.021366495236946913,0.03486057008526573,1.0,0.02140006439757241,0.03475791704658401,1.0,0.021397723491238644,0.03473585957651447,1.0,0.021600336556245322,0.03465834674706431,1.0
T3_vs_LABELPOS,T3,LABELPOS,0.8369936656783136,0.8099165911875406,0.027077074490773012,-0.039090688412714125,-0.029879947124789474,14,15,0.027064221784581677,0.020342945674002934,0.03402473165889494,1.0,0.0200992718324565,0.03409727846543892,1.0,0.020546913088483693,0.03415670529709878,1.0,0.020385752616426115,0.03380254417433761,1.0,0.020313294299716268,0.03410743419802996,1.0,0.020345204132848117,0.03406978001399228,1.0,0.020367238074086916,0.033914647804472106,1.0
