held_out_prompt,condition,n_train,n_test,qwk,rmse,mae,exact_accuracy,adjacent_accuracy,qwk_T2,qwk_T3,qwk_POS,qwk_POS_TRANS,qwk_T3_PLUS_POS,qwk_REAL_BOUNDARY_SHUFFLED_LABEL,qwk_RANDOM_BOUNDARY_TRUE_SEQUENCE,delta_T3_T2,delta_POS_T2,delta_POS_TRANS_T2,delta_T3_PLUS_POS_T2,delta_T3_shuffled,delta_T3_random_boundary,best_condition
"""A Cowboy Who Rode the Waves""",T2,14903.0,688.0,0.6591379001967448,0.558065404274151,0.4303117249985597,0.6468023255813954,0.9883720930232558,,,,,,,,,,,,,,
"""A Cowboy Who Rode the Waves""",T3,14903.0,688.0,0.6969830433825148,0.5388426047410685,0.4092450851197572,0.6686046511627907,0.9912790697674418,,,,,,,,,,,,,,
"""A Cowboy Who Rode the Waves""",POS,14903.0,688.0,0.6894722533964408,0.5428339070380425,0.40951819369463416,0.6686046511627907,0.9898255813953488,,,,,,,,,,,,,,
"""A Cowboy Who Rode the Waves""",POS_TRANS,14903.0,688.0,0.6892009324523773,0.5414892448477892,0.4079426306007536,0.6613372093023255,0.9883720930232558,,,,,,,,,,,,,,
"""A Cowboy Who Rode the Waves""",T3_PLUS_POS,14903.0,688.0,0.7035341487293336,0.5302073516411872,0.3976653276913419,0.6816860465116279,0.9898255813953488,,,,,,,,,,,,,,
"""A Cowboy Who Rode the Waves""",REAL_BOUNDARY_SHUFFLED_LABEL,14903.0,688.0,0.6781721812849979,0.55251465271782,0.420166065445459,0.6540697674418605,0.9869186046511628,,,,,,,,,,,,,,
"""A Cowboy Who Rode the Waves""",RANDOM_BOUNDARY_TRUE_SEQUENCE,14903.0,688.0,0.6764636727016224,0.5566183963727921,0.42018959169382913,0.6497093023255814,0.9898255813953488,,,,,,,,,,,,,,
Car-free cities,T2,14608.0,983.0,0.7070910821305791,0.7384755748946691,0.5649784619096739,0.5503560528992879,0.9491353001017294,,,,,,,,,,,,,,
Car-free cities,T3,14608.0,983.0,0.7239173526369822,0.7174023490419885,0.546285434515134,0.560528992878942,0.9552390640895219,,,,,,,,,,,,,,
Car-free cities,POS,14608.0,983.0,0.7197647713659958,0.7157300811108287,0.5436812291148636,0.5625635808748728,0.9562563580874873,,,,,,,,,,,,,,
Car-free cities,POS_TRANS,14608.0,983.0,0.7284298556026978,0.7051863922497008,0.5348458127531734,0.572736520854527,0.9572736520854527,,,,,,,,,,,,,,
Car-free cities,T3_PLUS_POS,14608.0,983.0,0.7414837285614797,0.6949259506863552,0.5285887745189589,0.5707019328585962,0.9593082400813835,,,,,,,,,,,,,,
Car-free cities,REAL_BOUNDARY_SHUFFLED_LABEL,14608.0,983.0,0.7156091524288426,0.7235591483953764,0.5490939530453754,0.5645981688708036,0.9511698880976602,,,,,,,,,,,,,,
Car-free cities,RANDOM_BOUNDARY_TRUE_SEQUENCE,14608.0,983.0,0.7232491679232986,0.7119022221197382,0.545153961677371,0.5595116988809766,0.9572736520854527,,,,,,,,,,,,,,
Cell phones at school,T2,14762.0,829.0,0.7173699079009981,0.5212110330117918,0.41994266984350437,0.669481302774427,0.9963811821471653,,,,,,,,,,,,,,
Cell phones at school,T3,14762.0,829.0,0.7201550424714862,0.511012828488476,0.4122444424976972,0.6634499396863691,0.9987937273823885,,,,,,,,,,,,,,
Cell phones at school,POS,14762.0,829.0,0.7177033492822966,0.5127956655740867,0.41359502973289597,0.6550060313630881,0.9963811821471653,,,,,,,,,,,,,,
Cell phones at school,POS_TRANS,14762.0,829.0,0.7248322147651007,0.5084792653042902,0.4118281886158329,0.6646562123039808,0.9963811821471653,,,,,,,,,,,,,,
Cell phones at school,T3_PLUS_POS,14762.0,829.0,0.7379920252002738,0.5031788425603069,0.4073251349908225,0.6767189384800965,0.9987937273823885,,,,,,,,,,,,,,
Cell phones at school,REAL_BOUNDARY_SHUFFLED_LABEL,14762.0,829.0,0.7105042603715603,0.519972117361223,0.4196097214130706,0.661037394451146,0.9963811821471653,,,,,,,,,,,,,,
Cell phones at school,RANDOM_BOUNDARY_TRUE_SEQUENCE,14762.0,829.0,0.722911151028103,0.5147468049166979,0.41455625296139487,0.6682750301568154,0.9987937273823885,,,,,,,,,,,,,,
Community service,T2,14823.0,768.0,0.6095134044877721,0.6275115130356717,0.4995565277617944,0.58203125,0.9817708333333334,,,,,,,,,,,,,,
Community service,T3,14823.0,768.0,0.6543874516059353,0.6241082589618655,0.4904312187624556,0.6158854166666666,0.9869791666666666,,,,,,,,,,,,,,
Community service,POS,14823.0,768.0,0.6489402250468157,0.5965133222226187,0.47122364397992933,0.6041666666666666,0.98828125,,,,,,,,,,,,,,
Community service,POS_TRANS,14823.0,768.0,0.6583267785717872,0.5957265161954016,0.46903981632050123,0.6197916666666666,0.98828125,,,,,,,,,,,,,,
Community service,T3_PLUS_POS,14823.0,768.0,0.6737396140223113,0.599684305020668,0.4699669197490243,0.6302083333333334,0.9895833333333334,,,,,,,,,,,,,,
