condition,seed,training_mode,total_parameters,trainable_parameters,encoder_parameters,head_parameters,encoder_trainable
D0,42,frozen_encoder_head,183832321,769,183831552,769,0
D2,42,frozen_encoder_head,183833985,2433,183831552,2433,0
D_STRUCT,42,frozen_encoder_head,183843777,12225,183831552,12225,0
D_POS,42,frozen_encoder_head,183837953,6401,183831552,6401,0
D_SHUFFLED,42,frozen_encoder_head,183839809,8257,183831552,8257,0
D_RANDOM,42,frozen_encoder_head,183839809,8257,183831552,8257,0
D0,13,frozen_encoder_head,183832321,769,183831552,769,0
D2,13,frozen_encoder_head,183833985,2433,183831552,2433,0
D_STRUCT,13,frozen_encoder_head,183843777,12225,183831552,12225,0
D_POS,13,frozen_encoder_head,183837953,6401,183831552,6401,0
D_SHUFFLED,13,frozen_encoder_head,183839809,8257,183831552,8257,0
D_RANDOM,13,frozen_encoder_head,183839809,8257,183831552,8257,0
D0,101,frozen_encoder_head,183832321,769,183831552,769,0
D2,101,frozen_encoder_head,183833985,2433,183831552,2433,0
D_STRUCT,101,frozen_encoder_head,183843777,12225,183831552,12225,0
D_POS,101,frozen_encoder_head,183837953,6401,183831552,6401,0
D_SHUFFLED,101,frozen_encoder_head,183839809,8257,183831552,8257,0
D_RANDOM,101,frozen_encoder_head,183839809,8257,183831552,8257,0
