condition,seed,phase,training_mode,best_epoch,runtime_seconds,status
D0,42,model_selection,frozen_encoder_head,5,0.7268097400665283,completed
D0,42,full_train_test_eval,frozen_encoder_head,5,,completed
D2,42,model_selection,frozen_encoder_head,5,1.020594835281372,completed
D2,42,full_train_test_eval,frozen_encoder_head,5,,completed
D_STRUCT,42,model_selection,frozen_encoder_head,5,1.0504541397094727,completed
D_STRUCT,42,full_train_test_eval,frozen_encoder_head,5,,completed
D_POS,42,model_selection,frozen_encoder_head,5,1.07243013381958,completed
D_POS,42,full_train_test_eval,frozen_encoder_head,5,,completed
D_SHUFFLED,42,model_selection,frozen_encoder_head,5,1.1153652667999268,completed
D_SHUFFLED,42,full_train_test_eval,frozen_encoder_head,5,,completed
D_RANDOM,42,model_selection,frozen_encoder_head,5,1.2061729431152344,completed
D_RANDOM,42,full_train_test_eval,frozen_encoder_head,5,,completed
D0,13,model_selection,frozen_encoder_head,5,0.6126751899719238,completed
D0,13,full_train_test_eval,frozen_encoder_head,5,,completed
D2,13,model_selection,frozen_encoder_head,5,0.9613120555877686,completed
D2,13,full_train_test_eval,frozen_encoder_head,5,,completed
D_STRUCT,13,model_selection,frozen_encoder_head,5,1.1990478038787842,completed
D_STRUCT,13,full_train_test_eval,frozen_encoder_head,5,,completed
D_POS,13,model_selection,frozen_encoder_head,5,0.9672582149505615,completed
D_POS,13,full_train_test_eval,frozen_encoder_head,5,,completed
D_SHUFFLED,13,model_selection,frozen_encoder_head,5,0.966728925704956,completed
D_SHUFFLED,13,full_train_test_eval,frozen_encoder_head,5,,completed
D_RANDOM,13,model_selection,frozen_encoder_head,5,0.9640018939971924,completed
D_RANDOM,13,full_train_test_eval,frozen_encoder_head,5,,completed
D0,101,model_selection,frozen_encoder_head,5,0.6056919097900391,completed
D0,101,full_train_test_eval,frozen_encoder_head,5,,completed
D2,101,model_selection,frozen_encoder_head,5,1.1417808532714844,completed
D2,101,full_train_test_eval,frozen_encoder_head,5,,completed
D_STRUCT,101,model_selection,frozen_encoder_head,5,0.962993860244751,completed
D_STRUCT,101,full_train_test_eval,frozen_encoder_head,5,,completed
D_POS,101,model_selection,frozen_encoder_head,5,0.9572539329528809,completed
D_POS,101,full_train_test_eval,frozen_encoder_head,5,,completed
D_SHUFFLED,101,model_selection,frozen_encoder_head,5,0.9509620666503906,completed
D_SHUFFLED,101,full_train_test_eval,frozen_encoder_head,5,,completed
D_RANDOM,101,model_selection,frozen_encoder_head,5,0.9591379165649414,completed
D_RANDOM,101,full_train_test_eval,frozen_encoder_head,5,,completed
